paperId,title,firstAuthor,nAuthors,year,venue,citationCount,doi,arxiv,pdfUrl,publicationDate
84b28077c88e7d938f4b56f8344b81ee2847fe26,A Heterogeneous and Programmable Compute-In-Memory Accelerator Architecture for Analog-AI Using Dense 2-D Mesh,Shubham Jain,15,2023,IEEE Transactions on Very Large Scale Integration (VLSI) Systems,64,10.1109/TVLSI.2022.3221390,,,2023-01-01
d715701f1017e99c3e45dd6f85b3835470841a9e,TSAGen: Synthetic Time Series Generation for KPI Anomaly Detection,Chengyu Wang,5,2021,IEEE Transactions on Network and Service Management,38,10.1109/tnsm.2021.3098784,,,2021-07-21
31dbee036447b5b6cd51e6df3aad132356200b39,A data governance framework for high-impact programs: Reducing redundancy and enhancing data quality at scale,Adebusayo Hassanat Adepoju,4,2023,International Journal of Multidisciplinary Research and Growth Evaluation,19,10.54660/.ijmrge.2023.4.6.1141-1154,,,
0b984aceb4db4f916410c8f848b0aabebb80005c,IntelligentMonitor: Empowering DevOps Environments with Advanced Monitoring and Observability,Pratik Thantharate,1,2023,2023 International Conference on Information Technology (ICIT),17,10.1109/ICIT58056.2023.10226123,,,2023-08-09
24b51e6dbe6de00c4a1f3bfa499e8bba1fdd66ae,Active-MTSAD: Multivariate Time Series Anomaly Detection With Active Learning,Wenlu Wang,4,2022,Dependable Systems and Networks,16,10.1109/dsn53405.2022.00036,,,2022-06-01
e9ede327015e855c6eb53b6a293a78779fba0320,Pre-trained KPI Anomaly Detection Model Through Disentangled Transformer,Zhaoyang Yu,12,2024,Knowledge Discovery and Data Mining,14,10.1145/3637528.3671522,,https://dl.acm.org/doi/pdf/10.1145/3637528.3671522,2024-08-24
ef849da9d7a3ce51e2c7ad2617757460cf885ce2,"Data Observability for High-Throughput Payments Pipelines: SLA Design, Anomaly Budgets, and Sequential Probability Ratio Tests for Early Incident Detection",Jennifer Amebleh,2,2022,International Journal of Scientific Research in Science Engineering and Technology,13,10.32628/ijsrset221658,,,2022-07-14
9e5ceba33f3a9824eda89c19da7cd9cfa20f17a1,Empowering Users: The Role Of AI In Enhancing Self-Service BI For Data-Driven Decision Making,Shakir Syed,2,2021,Educational Administration: Theory and Practice,11,10.53555/kuey.v27i4.8105,,,
9bc2ce60aa2e0c5c759fd7c8efc03af2a79f7928,Auto-Prep: Holistic Prediction of Data Preparation Steps for Self-Service Business Intelligence,Eugenie Y. Lai,3,2025,Proceedings of the VLDB Endowment,10,10.14778/3734839.3734856,2504.11627,,2025-03-01
6fc3e71aa0c32b67e5b4fafa6404b473d8bcdeaa,Beyond Sharing: Conflict-Aware Multivariate Time Series Anomaly Detection,Haotian Si,10,2023,ESEC/SIGSOFT FSE,10,10.1145/3611643.3613896,2308.08915,https://dl.acm.org/doi/pdf/10.1145/3611643.3613896,2023-08-17
4006601f244bcd6c8381c05ef427511c7e07a957,Cellular KPI Anomaly Detection with GAN and Time Series Decomposition,Jiajia Huang,3,2022,ICC 2022 - IEEE International Conference on Communications,9,10.1109/ICC45855.2022.9838810,,,2022-05-16
d8e1eb4deadb1b0f84d9b558b9fdb42fc145db3c,Causal Effect of the Tokyo 2020 Olympic and Paralympic Games on the Number of COVID-19 Cases under COVID-19 Pandemic: An Ecological Study Using the Synthetic Control Method,N. Yamamoto,4,2022,Journal of Personalized Medicine,8,10.3390/jpm12020209,,https://www.mdpi.com/2075-4426/12/2/209/pdf?version=1644467166,2022-02-01
006eff00d9f2dfe219d7cf69fb69fd2df413c8fd,Estimating causal effects of BRI infrastructure projects based on the synthetic control method,Yuan Li,3,2020,Asia Europe Journal,8,10.1007/s10308-021-00621-7,,https://link.springer.com/content/pdf/10.1007/s10308-021-00621-7.pdf,2020-09-01
dcbd221e3b15835da2cca4be1e35bf85b4b41a7d,Little Help Makes a Big Difference: Leveraging Active Learning to Improve Unsupervised Time Series Anomaly Detection,Hamza Bodor,3,2022,ICSOC Workshops,8,10.1007/978-3-031-14135-5_13,2201.10323,http://arxiv.org/pdf/2201.10323,2022-01-25
9bbfc5fa7a8d364d940ee4b98de111b1dbffa3eb,MTAD: Tools and Benchmarks for Multivariate Time Series Anomaly Detection,Jinyang Liu,6,2024,arXiv.org,7,10.48550/arXiv.2401.06175,2401.06175,,2024-01-10
92a3fa6a599a74513b0892179229e5809116f17f,Towards a Distributed Data Mesh Model for the IoT-Edge-Cloud Continuum in Smart Cities,E. Rossini,6,2024,IFIP International Information Security Conference,6,10.1109/SEC62691.2024.00041,,,2024-12-04
019e08104893e4de446687696e12b6928005bdf1,A Distributed Data Mesh Paradigm for an Event-based Smart Communities Monitoring Product,W. Pongpech,1,2023,ANT/EDI40,6,10.1016/j.procs.2023.03.074,,https://doi.org/10.1016/j.procs.2023.03.074,2023-04-17
575b21a75ab4c72a1e035d0f78b5d6a6b9f0e454,Economic Effect and Disparity of Airport Economic Zones Utilizing the Synthetic Control Method,Yiying Chao,4,2024,Transportation Research Record,5,10.1177/03611981231217287,,,2024-01-09
3481059c5b34942d463ef687eb560ea3338e90ad,Implementing a Blockchain-Powered Metadata Catalog in Data Mesh Architecture,Anton Dolhopolov,3,2023,International Congress on Blockchain and Applications,5,10.1007/978-3-031-45155-3_35,,,
acf8f7c2905814b7a4409c39c6fbc17b48a43f07,Hybrid Machine Learning for Anomaly Detection in Industrial Time-Series Measurement Data,Anika Terbuch,3,2022,International Instrumentation and Measurement Technology Conference,5,10.1109/I2MTC48687.2022.9806663,,,2022-05-16
29e05cbf92f86f598abc425e20daa91f55c75714,Time Series Anomaly Detection Model Based on Multi-Features,Hengyao Tang,3,2022,Computational Intelligence and Neuroscience,5,10.1155/2022/2371549,,https://downloads.hindawi.com/journals/cin/2022/2371549.pdf,2022-08-08
129d30998050d9e53c6f37eeb4306efd66a38571,Combining process tracing and synthetic control method: Bridging two ways of making causal inference in evaluation research,F. Podestà,1,2022,Evaluation,4,10.1177/13563890221139511,,,2022-12-05
9de088559f9f03608b07057f5f32b53d7288caf2,Beginning Microsoft Power BI: A Practical Guide to Self-Service Data Analytics,Dan Clark,1,2020,,4,10.1007/978-1-4842-5620-6,,https://link.springer.com/content/pdf/bfm:978-1-4842-5620-6/1,2020-02-21
01629346a69430c8f7e86886480e7c810ad5e2dc,An Anomaly Detection Approach by AIML in IP Networks with eBPF-Based Observability,Minato Sakuraba,4,2023,Asia-Pacific Network Operations and Management Symposium,4,,,,2023-09-06
95c93b7bd6deba7dba35d29852c9168abb2e798f,AI-POWERED DATA MANAGEMENT AND GOVERNANCE IN RETAIL,Anant Agarwal,1,2025,International Journal of Data Mining &amp; Knowledge Management Process,4,10.5121/ijdkp.2025.15207,,,2025-03-28
bcf0161fe661bb01bc808b55989b563da9eff15e,A Comprehensive Review of AI and ML in Data Governance and Data Quality,Prateik Mahendra,4,2025,International Conference Intelligent Data Communication Technologies and Internet Things,4,10.1109/ICICI65870.2025.11069464,,,2025-06-04
0b6f7bbc3be28e90c1f6b5a29df829d7ddb17116,Data Overlay Mesh in Distributed Clouds Allowing Collaborative Applications,Miloš Simić,4,2025,IEEE Access,4,10.1109/ACCESS.2024.3525336,,,
ed3a5e0ee9d4606ba1a8bf96ef213865c87abc15,Adopting Data Mesh principles to Boost Data Sharing for Clinical Trials,Matteo Falconi,2,2023,International Conference on Digital Health,4,10.1109/ICDH60066.2023.00051,,,2023-07-01
3c104bb6652ec11f57d787f8808d4fb4b9b2d947,Supply Chain Anomaly Detection and Prediction Models Based on Large-Scale Time Series Data,Ruohan Wang,2,2025,Proceedings of the 2025 International Conference on Digital Economy and Information Systems,3,10.1145/3745133.3745136,,,2025-04-25
8791eed05858075ffdd7edf8cc3ddaa4b98a99df,Counterfactual and Synthetic Control Method: Causal Inference with Instrumented Principal Component Analysis,Cong Wang,1,2024,,2,,2408.09271,,2024-08-17
f6bf24a4bdd27287abaa82c3a3a7efdb42e3dece,An application of the augmented synthetic control method within a target trial framework: the case of the soda tax policy in California,Fan Zhao,5,2025,BMC Public Health,2,10.1186/s12889-025-22526-5,,https://doi.org/10.1186/s12889-025-22526-5,2025-04-11
e557ea5aa425bb2a79b3294af24b765944fe5f3d,The relationship between minimum wage and employment. A synthetic control method approach,Juan J. Arnadillo,3,2024,Economic and Labour Relations Review,2,10.1017/elr.2024.44,,https://www.cambridge.org/core/services/aop-cambridge-core/content/view/D534D96EEDD5361B556B133571DAADBA/S1035304624000449a.pdf/div-class-title-the-relationship-between-minimum-wage-and-employment-a-synthetic-control-method-approach-div.pdf,2024-10-29
954d8ec9e2d3c9f3b0921a325e9bb16506d64665,On the sparsity of synthetic control method,Qiang Chen,2,2024,Journal of Applied Economics,2,10.1080/15140326.2024.2361184,,https://www.tandfonline.com/doi/pdf/10.1080/15140326.2024.2361184?needAccess=true,2024-06-03
24061376d461af8c9922071d81d0625a5bc1fa16,Estimating the Causal Effect of A Digitally Native Retailer Opening a New Store: A New Two-Step Synthetic Control Method,Kathleen T. Li,2,2020,,2,10.2139/ssrn.3628589,,,2020-05-23
23cccb701e5346bb987a5d11648e9833eda9f333,Evaluating Self-Service BI and Analytics Tools for SMEs,Antonio Oliveira,2,2020,International Conference on E-Business and Telecommunication Networks,2,10.5220/0009820400890097,,https://doi.org/10.5220/0009820400890097,
82c3750e81003e50b870188e6e3ece2e27b99ca7,Pro Power BI Desktop: Self-Service Analytics and Data Visualization for the Power User,A. Aspin,1,2020,,2,10.1007/978-1-4842-5763-0,,https://link.springer.com/content/pdf/bfm:978-1-4842-5763-0/1?pdf=chapter%20toc,2020-06-11
ef3104e0ceed1f8725fa108b60fe86f9a4db8fb4,Blockchain-enabled data lineage verification for multi-source business intelligence systems,Linda Aluso,3,2023,International Journal of Management &amp; Entrepreneurship Research,2,10.51594/ijmer.v5i12.2218,,,2023-12-31
f74bfd3c324c006ab30d086fd1167c3273a6dc1b,Unified Data Governance Framework for AI-Enabled Data Warehouses in Banking,Ashish Dibouliya,1,2025,European Modern Studies Journal,2,10.59573/emsj.9(4).2025.7,,,2025-08-07
26b1bcf5fbe58165d9242b61280fbc4f30d57f9c,Applying Value-Based Deep Reinforcement Learning on KPI Time Series Anomaly Detection,Yu Zhang,2,2022,IEEE International Conference on Cloud Computing,2,10.1109/CLOUD55607.2022.00039,,,2022-07-01
01e0a463213ea40a02321d7ca062f9d6df72a573,Quantile control method: Causal inference with one treated unit via random forest,Guanpeng Yan,3,2025,The Stata Journal,1,10.1177/1536867X251341181,,,2025-06-01
c835754e958d51892f3004fb755801f223c03a13,The impact of Sanming’s healthcare reform on medical resource misallocation: based on synthetic control method,Lin Guo,9,2025,Frontiers in Public Health,1,10.3389/fpubh.2025.1671174,,,2025-10-21
9e9cbf33fe773e251112f5bc27cb96b11c614825,Using the Synthetic Control Method to Evaluate the Impact of a Land-Based Gambling Ban on Crime,Jakub Žofčák,2,2024,Journal of Gambling Studies,1,10.1007/s10899-024-10281-y,,https://link.springer.com/content/pdf/10.1007/s10899-024-10281-y.pdf,2024-03-01
682d676e5b5c490fc859846aa36bea9edb459426,The Long‐Term Economic Impact of Abenomics: Evidence from the Synthetic Control Method,Josh Matti,1,2024,Economic Papers: A journal of applied economics and policy,1,10.1111/1759-3441.12408,,,2024-01-17
64fc3d9fa372e7b42b1ecfdd44fa57804b955ba1,"A Comparative Study of Difference-in-Differences (DID), Synthetic
 Control Method (SCM), Synthetic Difference-in-Differences (SDID): Effects of
 Early-Morning Delivery",J. Suh,4,2024,Journal of Channel and Retailing,1,10.17657/jcr.2024.10.31.6,,https://doi.org/10.17657/jcr.2024.10.31.6,2024-10-01
1456ac6afa1f3c8f58bcd9df92c9e438c899eaec,Self-Service Business Intelligence: Meeting User Needs in a Data-Rich World,Mahganj Durra,2,2023,"Automation, Control, and Information Technology",1,10.1109/ACIT58888.2023.10453724,,,2023-12-06
cdbb38d1f275848a617fa30cca6fb71d844c947c,AI-Powered Data Observability & Governance Agent for Cloud Analytics: Transforming Enterprise Data Management,Deepika Annam,1,2025,Journal of Computer Science and Technology Studies,1,10.32996/jcsts.2025.7.3.88,,,2025-05-08
20ae99a2c76017b3594574036eec12fb769dac42,Causality-informed Anomaly Detection in Partially Observable Sensor Networks: Moving beyond Correlations,Xiaofeng Xiao,3,2025,arXiv.org,1,10.48550/arXiv.2507.09742,2507.09742,,2025-07-13
